id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
97;100019;VK2;1;beliebig;32,4;;0;0;+;19
98;100019;VK3;1;beliebig;38;;0;0;+;19
99;100019;VK4;1;beliebig;46;;0;0;+;19
100;100019;VK_DP;1;beliebig;46,5;;0;0;+;19
101;100020;VK1;1;beliebig;16;;0;0;+;19
102;100020;VK2;1;beliebig;12,4;;0;0;+;19
103;100020;VK3;1;beliebig;19;;0;0;+;19
104;100020;VK4;1;beliebig;23;;0;0;+;19
105;100020;VK_DP;1;beliebig;18;;0;0;+;19
106;100021;VK1;1;beliebig;91,5;;0;0;+;19
107;100021;VK2;1;beliebig;73,55;;0;0;+;19
108;100021;VK3;1;beliebig;108;;0;0;+;19
109;100021;VK4;1;beliebig;131;;0;0;+;19
110;100021;VK_DP;1;beliebig;105,5;;0;0;+;19
111;100022;VK1;1;beliebig;91,5;;0;0;+;19
112;100022;VK2;1;beliebig;73,55;;0;0;+;19
113;100022;VK3;1;beliebig;108;;0;0;+;19
114;100022;VK4;1;beliebig;131;;0;0;+;19
115;100022;VK_DP;1;beliebig;105,5;;0;0;+;19
116;100023;VK1;1;beliebig;162;;0;0;+;19
117;100023;VK2;1;beliebig;131,5;;0;0;+;19
118;100023;VK3;1;beliebig;191;;0;0;+;19
119;100023;VK4;1;beliebig;231,5;;0;0;+;19
120;100023;VK_DP;1;beliebig;188;;0;0;+;19
121;100024;VK1;1;beliebig;162;;0;0;+;19
122;100024;VK2;1;beliebig;131,5;;0;0;+;19
123;100024;VK3;1;beliebig;191;;0;0;+;19
124;100024;VK4;1;beliebig;231,5;;0;0;+;19
125;100024;VK_DP;1;beliebig;188;;0;0;+;19
126;100025;VK1;1;beliebig;111;;0;0;+;19
127;100025;VK2;1;beliebig;90,1;;0;0;+;19
128;100025;VK3;1;beliebig;131;;0;0;+;19
129;100025;VK4;1;beliebig;159;;0;0;+;19
130;100025;VK_DP;1;beliebig;129;;0;0;+;19
131;100026;VK1;1;beliebig;172,5;;0;0;+;19
132;100026;VK2;1;beliebig;139,75;;0;0;+;19
133;100026;VK3;1;beliebig;203;;0;0;+;19
134;100026;VK4;1;beliebig;246,5;;0;0;+;19
135;100026;VK_DP;1;beliebig;200;;0;0;+;19
136;100027;VK1;1;beliebig;1,5;;0;0;+;19
137;100027;VK2;1;beliebig;1,35;;0;0;+;19
138;100027;VK3;1;beliebig;2;;0;0;+;19
139;100027;VK4;1;beliebig;2,5;;0;0;+;19
140;100027;VK_DP;1;beliebig;2;;0;0;+;19
141;100028;VK1;1;beliebig;1,5;;0;0;+;19
142;100028;VK2;1;beliebig;1,35;;0;0;+;19
143;100028;VK3;1;beliebig;2;;0;0;+;19
144;100028;VK4;1;beliebig;2,5;;0;0;+;19
145;100028;VK_DP;1;beliebig;2;;0;0;+;19
146;100029;VK1;1;beliebig;1,5;;0;0;+;19
147;100029;VK2;1;beliebig;1,35;;0;0;+;19
148;100029;VK3;1;beliebig;2;;0;0;+;19
149;100029;VK4;1;beliebig;2,5;;0;0;+;19
150;100029;VK_DP;1;beliebig;2;;0;0;+;19
151;100030;VK1;1;beliebig;1,5;;0;0;+;19
152;100030;VK2;1;beliebig;1,35;;0;0;+;19
153;100030;VK3;1;beliebig;2;;0;0;+;19
154;100030;VK4;1;beliebig;2,5;;0;0;+;19
155;100030;VK_DP;1;beliebig;2;;0;0;+;19
156;100031;VK1;1;beliebig;13,1;;0;0;+;19
157;100031;VK3;1;beliebig;15,5;;0;0;+;19
158;100031;VK4;1;beliebig;19;;0;0;+;19
159;100032;VK1;1;beliebig;17;;0;0;+;19
160;100032;VK2;1;beliebig;15,5;;0;0;+;19
161;100032;VK3;1;beliebig;20;;0;0;+;19
162;100032;VK4;1;beliebig;24,5;;0;0;+;19
163;100032;VK_DP;1;beliebig;22,5;;0;0;+;19
164;100033;VK1;1;beliebig;1;;0;0;+;19
165;100033;VK2;1;beliebig;0,9;;0;0;+;19
166;100033;VK3;1;beliebig;1,5;;0;0;+;19
167;100033;VK4;1;beliebig;1,5;;0;0;+;19
168;100033;VK_DP;1;beliebig;1,5;;0;0;+;19
169;100034;VK1;1;beliebig;2;;0;0;+;19
170;100034;VK2;1;beliebig;1,15;;0;0;+;19
