id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
23942;104012;H05;1;beliebig;6,23;;0;0;+;19
23943;104012;H08;1;beliebig;6,03;;0;0;+;19
23944;104012;H15;1;beliebig;5,57;;0;0;+;19
23945;104012;H20;1;beliebig;5,24;;0;0;+;19
23946;104012;H33;1;beliebig;4,39;;0;0;+;19
23947;104013;EK;1;beliebig;7,8;;0;0;I;19
23948;104013;H05;1;beliebig;6,23;;0;0;+;19
23949;104013;H08;1;beliebig;6,03;;0;0;+;19
23950;104013;H15;1;beliebig;5,57;;0;0;+;19
23951;104013;H20;1;beliebig;5,24;;0;0;+;19
23952;104013;H33;1;beliebig;4,39;;0;0;+;19
23953;104014;EK;1;beliebig;7,8;;0;0;I;19
23954;104014;H05;1;beliebig;6,23;;0;0;+;19
23955;104014;H08;1;beliebig;6,03;;0;0;+;19
23956;104014;H15;1;beliebig;5,57;;0;0;+;19
23957;104014;H20;1;beliebig;5,24;;0;0;+;19
23958;104014;H33;1;beliebig;4,39;;0;0;+;19
23959;104015;EK;1;beliebig;7,8;;0;0;I;19
23960;104015;H05;1;beliebig;6,23;;0;0;+;19
23961;104015;H08;1;beliebig;6,03;;0;0;+;19
23962;104015;H15;1;beliebig;5,57;;0;0;+;19
23963;104015;H20;1;beliebig;5,24;;0;0;+;19
23964;104015;H33;1;beliebig;4,39;;0;0;+;19
23965;104016;EK;1;beliebig;1,19;;0;0;I;19
23966;104016;H05;1;beliebig;0,95;;0;0;+;19
23967;104016;H08;1;beliebig;0,92;;0;0;+;19
23968;104016;H15;1;beliebig;0,85;;0;0;+;19
23969;104016;H20;1;beliebig;0,8;;0;0;+;19
23970;104016;H33;1;beliebig;0,67;;0;0;+;19
23971;104017;EK;1;beliebig;1,19;;0;0;I;19
23972;104017;H05;1;beliebig;0,95;;0;0;+;19
23973;104017;H08;1;beliebig;0,92;;0;0;+;19
23974;104017;H15;1;beliebig;0,85;;0;0;+;19
23975;104017;H20;1;beliebig;0,8;;0;0;+;19
23976;104017;H33;1;beliebig;0,67;;0;0;+;19
23977;104018;EK;1;beliebig;1,19;;0;0;I;19
23978;104018;H05;1;beliebig;0,95;;0;0;+;19
23979;104018;H08;1;beliebig;0,92;;0;0;+;19
23980;104018;H15;1;beliebig;0,85;;0;0;+;19
23981;104018;H20;1;beliebig;0,8;;0;0;+;19
23982;104018;H33;1;beliebig;0,67;;0;0;+;19
23983;104019;EK;1;beliebig;1,19;;0;0;I;19
23984;104019;H05;1;beliebig;0,95;;0;0;+;19
23985;104019;H08;1;beliebig;0,92;;0;0;+;19
23986;104019;H15;1;beliebig;0,85;;0;0;+;19
23987;104019;H20;1;beliebig;0,8;;0;0;+;19
23988;104019;H33;1;beliebig;0,67;;0;0;+;19
23989;104020;EK;1;beliebig;1,19;;0;0;I;19
23990;104020;H05;1;beliebig;0,95;;0;0;+;19
23991;104020;H08;1;beliebig;0,92;;0;0;+;19
23992;104020;H15;1;beliebig;0,85;;0;0;+;19
23993;104020;H20;1;beliebig;0,8;;0;0;+;19
23994;104020;H33;1;beliebig;0,67;;0;0;+;19
23995;104021;EK;1;beliebig;1,19;;0;0;I;19
23996;104021;H05;1;beliebig;0,95;;0;0;+;19
23997;104021;H08;1;beliebig;0,92;;0;0;+;19
23998;104021;H15;1;beliebig;0,85;;0;0;+;19
23999;104021;H20;1;beliebig;0,8;;0;0;+;19
24000;104021;H33;1;beliebig;0,67;;0;0;+;19
24001;104022;EK;1;beliebig;1,59;;0;0;I;19
24002;104022;H05;1;beliebig;1,27;;0;0;+;19
24003;104022;H08;1;beliebig;1,23;;0;0;+;19
24004;104022;H15;1;beliebig;1,14;;0;0;+;19
24005;104022;H20;1;beliebig;1,07;;0;0;+;19
24006;104022;H33;1;beliebig;0,9;;0;0;+;19
24007;104023;EK;1;beliebig;1,79;;0;0;I;19
24008;104023;H05;1;beliebig;1,43;;0;0;+;19
24009;104023;H08;1;beliebig;1,38;;0;0;+;19
24010;104023;H15;1;beliebig;1,28;;0;0;+;19
24011;104023;H20;1;beliebig;1,2;;0;0;+;19
24012;104023;H33;1;beliebig;1,01;;0;0;+;19
24013;104024;EK;1;beliebig;1,79;;0;0;I;19
24014;104024;H05;1;beliebig;1,43;;0;0;+;19
24015;104024;H08;1;beliebig;1,38;;0;0;+;19
24016;104024;H15;1;beliebig;1,28;;0;0;+;19
24017;104024;H20;1;beliebig;1,2;;0;0;+;19
24018;104024;H33;1;beliebig;1,01;;0;0;+;19
24019;104025;EK;1;beliebig;1,99;;0;0;I;19
24020;104025;H05;1;beliebig;1,59;;0;0;+;19
24021;104025;H08;1;beliebig;1,54;;0;0;+;19
24022;104025;H15;1;beliebig;1,42;;0;0;+;19
24023;104025;H20;1;beliebig;1,34;;0;0;+;19
24024;104025;H33;1;beliebig;1,12;;0;0;+;19
24025;104026;EK;1;beliebig;7,8;;0;0;I;19
24026;104026;H05;1;beliebig;6,23;;0;0;+;19
24027;104026;H08;1;beliebig;6,03;;0;0;+;19
24028;104026;H15;1;beliebig;5,57;;0;0;+;19
24029;104026;H20;1;beliebig;5,24;;0;0;+;19
24030;104026;H33;1;beliebig;4,39;;0;0;+;19
24031;104027;EK;1;beliebig;8,15;;0;0;I;19
24032;104027;H05;1;beliebig;6,51;;0;0;+;19
24033;104027;H08;1;beliebig;6,3;;0;0;+;19
24034;104027;H15;1;beliebig;5,82;;0;0;+;19
24035;104027;H20;1;beliebig;5,48;;0;0;+;19
24036;104027;H33;1;beliebig;4,59;;0;0;+;19
24037;104028;EK;1;beliebig;7,8;;0;0;I;19
24038;104028;H05;1;beliebig;6,23;;0;0;+;19
24039;104028;H08;1;beliebig;6,03;;0;0;+;19
24040;104028;H15;1;beliebig;5,57;;0;0;+;19
24041;104028;H20;1;beliebig;5,24;;0;0;+;19
24042;104028;H33;1;beliebig;4,39;;0;0;+;19
24043;104029;EK;1;beliebig;7,8;;0;0;I;19
24044;104029;H05;1;beliebig;6,23;;0;0;+;19
24045;104029;H08;1;beliebig;6,03;;0;0;+;19
24046;104029;H15;1;beliebig;5,57;;0;0;+;19
24047;104029;H20;1;beliebig;5,24;;0;0;+;19
24048;104029;H33;1;beliebig;4,39;;0;0;+;19
24049;104030;EK;1;beliebig;7,8;;0;0;I;19
24050;104030;H05;1;beliebig;6,23;;0;0;+;19
24051;104030;H08;1;beliebig;6,03;;0;0;+;19
24052;104030;H15;1;beliebig;5,57;;0;0;+;19
24053;104030;H20;1;beliebig;5,24;;0;0;+;19
24054;104030;H33;1;beliebig;4,39;;0;0;+;19
24055;104031;EK;1;beliebig;7,8;;0;0;I;19
24056;104031;H05;1;beliebig;6,23;;0;0;+;19
24057;104031;H08;1;beliebig;6,03;;0;0;+;19
24058;104031;H15;1;beliebig;5,57;;0;0;+;19
24059;104031;H20;1;beliebig;5,24;;0;0;+;19
24060;104031;H33;1;beliebig;4,39;;0;0;+;19
24061;104032;EK;1;beliebig;8,49;;0;0;I;19
24062;104032;H05;1;beliebig;6,78;;0;0;+;19
24063;104032;H08;1;beliebig;6,56;;0;0;+;19
24064;104032;H15;1;beliebig;6,06;;0;0;+;19
24065;104032;H20;1;beliebig;5,71;;0;0;+;19
24066;104032;H33;1;beliebig;4,78;;0;0;+;19
24067;104033;EK;1;beliebig;7,8;;0;0;I;19
24068;104033;H05;1;beliebig;6,23;;0;0;+;19
24069;104033;H08;1;beliebig;6,03;;0;0;+;19
24070;104033;H15;1;beliebig;5,57;;0;0;+;19
24071;104033;H20;1;beliebig;5,24;;0;0;+;19
24072;104033;H33;1;beliebig;4,39;;0;0;+;19
24073;104034;EK;1;beliebig;3,69;;0;0;I;19
24074;104034;H05;1;beliebig;2,95;;0;0;+;19
